headline,clickbait,clickbaitNoise
This Comedy Duo Has Some Surprisingly Helpful Office Hacks To Make Your Work Life Better,1,0.95
"George Garanian, Russian Armenian jazz band leader, dies at age 75",0,0.05
"WHO's reaction to H1N1 influenced by drug companies, reports claim",0,0.05
What's A Word Only Disney Fans Will Understand,1,0.95
UK holds referendum on voting system,0,0.05
News International offers £3 million phone-hacking settlement to family of murder victim,0,0.05
"After Long Layoff, Baker-Finch Back at Colonial, Site of First PGA Win in 1989",0,0.05
21 Beautiful Models Who Bravely Bared Their Boobs On The Runways,1,0.95
MPAA sues six BitTorrent sites linking to TV shows,0,0.05
Sign Up For BuzzFeed Quinta's Newsletter,1,0.95
Chinese chemical plant explosion threatens water supply for major city,0,0.05
This Trans Woman Is Using Topless Photos To Challenge Facebook's Nipple Policy,1,0.95
"MySpace removes 90,000 sex offenders",0,0.05
Tiny Island Surrounded by Tension in the Gulf,0,0.05
Plan to Shift Military Spending Faces Skepticism,0,0.05
It's Time For Us To Realize That Leonardo DiCaprio Doesn't Need An Oscar,1,0.95
Here's What It's Actually Like To Be With The Victoria's Secret Angels IRL,1,0.95
New Ad Campaigns Look Back at the 1930s,0,0.05
North Korean military leader Jo Myong Rok dies at age 82,0,0.05
Persian Station in Britain Rattles Officials in Iran,0,0.05
Seven killed in Chinese bombing,0,0.05
"OK, We Need To Talk About How Amazing Usher's Bulge Is",1,0.95
"61 Things You Probably Didn't Know About ""Harry Potter And The Philosopher's Stone""",1,0.95
We Know Where You'll Meet Your Soulmate Based On This One Question,1,0.95
U.S. Is Said to Oppose Merger of CSL and Talecris,0,0.05
Nuclear sites close as more UK workers walkout,0,0.05
Police Find New Evidence in Killing of 2 in Florida,0,0.05
"Which Hogwarts Houses Do These ""Friends"" Characters Belong In",1,0.95
Irish Obama song proves popular on Internet,0,0.05
29 Things Non-Germans Find Bewildering About Germany,1,0.95
The Worst Way To Get Caught Cheating,1,0.95
Bravo Pushes Shows  Into Licensing Products,0,0.05
Norwegian museum claims Adolf Hitler drew Disney cartoons on painting,0,0.05
Fiji joins the Non-Aligned Movement,0,0.05
13 Animals Who Are Way More Gangster Than You,1,0.95
15 People Who Are Definitely Not On The Drake Train,1,0.95
"48 Lessons My Younger, 21-Year-Old Sister Taught Me",1,0.95
"We Know Which Thanksgiving Food Matches Your Favorite ""Parks And Rec"" Character",1,0.95
A Comedian Talked About Being Abused And Raped In A Previous Relationship,1,0.95
11 Times Tumblr Combined Your Love Of Animals And Video Games,1,0.95
The Democratic Candidates Looked Oddly Familiar,1,0.95
K.H.L. Leader Chides N.H.L. On 2014 Games,0,0.05
"EU, US declare intent to cooperate on climate change at summit",0,0.05
A Town Reborn Faces a New Threat,0,0.05
Chinese Officials Say Tests Clear Formula Company,0,0.05
21 Barbie Computer Games You Totally Forgot Existed,1,0.95
39 Things You'll Only Understand If You Went To College In The Early 2000s,1,0.95
"After 2 Mistrials, Prosecutors Try Again to Prove Jihad Plot",0,0.05
28 Essential Items Every Guy Needs To Own This Fall,1,0.95
Brazilian Minister of Culture says that he smoked marijuana until the age of 50,0,0.05
AbitibiBowater Files for Bankruptcy Protection,0,0.05
"Meet Gar Ryness, the Batting Stance Guy",0,0.05
15 Insanely Adorable Pins You Never Knew You Needed,1,0.95
Here's How To Deal With This Insanely Annoying Mouth Issue,1,0.95
This Is What Anxious People Actually Hear,1,0.95
"Even With the Putter, Loft Is a Consideration",0,0.05
Can You Keep Up With The Ruth Bader Ginsburg Workout,1,0.95
Sudan adopts new currency,0,0.05
Syracuse Beats Cornell for 11th Lacrosse Title,0,0.05
Bin Laden banished from Islam in Iberia,0,0.05
13 Crazy-Delicious Pizza Toppings You Need In Your Life,1,0.95
Which Teen T.V. Show Drama Queen Are You,1,0.95
UN carries out first review of US human rights record,0,0.05
How Do Men Decide When To Have Sex,1,0.95
These Baby Meerkats Are Too Precious For This World,1,0.95
What's The Weirdest Sex Toy You've Ever Seen,1,0.95
13 Insanely Easy Three-Ingredient Desserts,1,0.95
Here's Proof That Brining Your Turkey Is Stupid And Wrong,1,0.95
16 Italian Landmarks That Are Actually Crap,1,0.95
Same-Sex Marriage Laws Pose Protection Quandary,0,0.05
"Before Election, South Africans Grumble, but Favor A.N.C.",0,0.05
European Venus probe launched successfully,0,0.05
Women Should Not Give Haircuts To Their BFFs... But These Women Did,1,0.95
"Apple launches new, faster iPhone",0,0.05
Obama Condemns Iranian Crackdown,0,0.05
14 Pictures Everyone Who's Been To An Indian Wedding Will Recognise,1,0.95
The Two Movies We'll Be Talking About For The Rest Of The Year,1,0.95
Here's What Inclusive Nude Fashion Looks Like On Black Women,1,0.95
"Sri Lanka Presses Rebels, but at a Mounting Cost",0,0.05
15 Useful Things For People Who Never Remember Their Shit,1,0.95
Literally Just 25 Things That Happened At Walmart In 2015,1,0.95
UK mountain run abandoned as participants seek shelter from appalling conditions,0,0.05
31 Things Anyone Who Owned A PlayStation In The '90s Will Remember,1,0.95
Tumblr Users Have Discovered A Pun Which Works In So Many Languages,1,0.95
The 40 Most Important Corgis Of 2015,1,0.95
Higher Prices for Popular Comic Books,0,0.05
25 Beautiful Vintage Pictures Of New Orleans' Vibrant Culture,1,0.95
"Black Guys Discuss The Black Guy In ""Star Wars""",1,0.95
An Artist Gave Disney Couples Modern Makeovers And They're Fierce AF,1,0.95
Dow Chemical Cuts Dividend by 64%,0,0.05
19 Gross Kitchen Habits You Probably Definitely Have,1,0.95
NASA schedules launch date for comet-chasing probe,0,0.05
A Photo Of A Trauma Nurse Cuddling With Her Son After Work Is Going Viral For All The Right Reasons,1,0.95
17 Food Questions You Didn't Know You Needed An Answer To,1,0.95
"Tom Cruise parody site defiant in face of Scientology threats, demands its day in court",0,0.05
Mumbai Police investigations indicate Pakistani role in 11/7 serial blasts,0,0.05
Can You Guess Why Ross Geller Is Freaking Out From A Screenshot,1,0.95
14 Confessions Of An Indian Drag Queen,1,0.95
The Only 3 Outfits You Need For Fall,1,0.95
"Defending World Skating Title, Germans Take Pairs Lead",0,0.05
McKesson Buys Drugstore Brand,0,0.05
"United States military death toll in Iraq reaches 4,000",0,0.05
"17 Unforgettable Childhood Moments From Playing ""Crosscountry Canada""",1,0.95
"Wikinews interviews Brian Moore, Socialist Party USA presidential candidate",0,0.05
17 Insanely Brilliant Ways To Hide Alcohol In Your Outfit,1,0.95
Who Do You Think Should Win At The 2015 Emmy Awards,1,0.95
Liberal Democrats defeated in UK elections after alternative vote and councils rejected; Salmond wins historic first majority vote,0,0.05
When Your BF Has A Female BFF,1,0.95
Authorities search home of owner of German Wikileaks domain,0,0.05
21 Hilarious Tweets About TV That Will Make You Laugh Every Time,1,0.95
27 Reasons Why Paris Is The Capital Of The World,1,0.95
Photo Stirs Speculation on North Korean Leader,0,0.05
S.E.C. Faces Fresh Scrutiny Over Trading Inquiry at Lehman,0,0.05
Which Netflix Original Series Should You Star In,1,0.95
"2008 COMPUTEX Taipei: Another insight of ""Design""",0,0.05
26 Pregnant Women Who Totally Slayed Halloween,1,0.95
Which Newly Revealed Wizard School Should You Study Abroad At,1,0.95
Australia's Simpson Desert to be closed for summer,0,0.05
UK assumes direct rule over the Turks and Caicos Islands,0,0.05
16 Fairy Tale Cottages You Can Actually Stay In,1,0.95
19 Gifts Your Work Spouse Would Actually Love To Receive,1,0.95
Smart Play for Baseball and N.F.L. in Sirius Deals,0,0.05
A Senior Who Just Found Out He Has Cancer Gave An Incredible Speech To His Class,1,0.95
Negotiations for hijacked Saudi oil tanker begin,0,0.05
"In Area Packed With Prisons, a Split on Jihadists",0,0.05
Asian Women Watched Asian Porn And They Were Horrified,1,0.95
The 24 Best Science Fiction Books Of 2015,1,0.95
"13 Times ""RuPaul's Drag Race"" Captured How You Feel While Unemployed",1,0.95
Canadian military accused of Agent Orange cover up,0,0.05
15 Struggles Only People With iPads Will Understand,1,0.95
Sri Lanka Rejects Tamil Call for Cease-Fire,0,0.05
Republicans Press Judge About Bias,0,0.05
Australian Prime Minister denies striking a deal with predecessor,0,0.05
"This Woman Texts Her Husband Everything He Says In His Sleep, And It's Hilarious",1,0.95
Syria fires on Israeli fighter planes,0,0.05
Wikinews interviews Dr. Phil Klotzbach on upcoming hurricane season,0,0.05
Romanian fighter jet hit by UFOs,0,0.05
California wildfires continue to spread,0,0.05
Hong Kong Disneyland opens to the public,0,0.05
Can We Guess Your Favorite Chocolate Based On Your Zodiac,1,0.95
"OPEC Keeps Output Goals Unchanged, Saudi Says",0,0.05
17 International Starbucks Items That We Need Immediately,1,0.95
17 Times The Internet Got Too Real About Instagram,1,0.95
Indian Women Open Up About Their First Times Being Harassed In Public,1,0.95
Two charged in Heathrow bomb threat,0,0.05
17 Tweeters Who 100% Need A Dictionary For Christmas,1,0.95
Australian Greens leader criticises media ethics,0,0.05
Pope Benedict XVI departs from UK,0,0.05
Can You Solve These Logic Riddles,1,0.95
21 Polly Pocket Sets That Will Give Every '90s Kid Intense Nostalgia,1,0.95
This Is What Happens When You Reunite With Your BFF,1,0.95
Gates pledges $600 million for Global Plan to Stop Tuberculosis,0,0.05
"On Frustrating Final Holes, Woods Feels His Day Start to Slip Away",0,0.05
Russian Boeing 737 crashes with 88 aboard,0,0.05
North Korea destroys nuclear cooling tower,0,0.05
"For Poodles, Maintenance of the Highest Order",0,0.05
"In an Unusual Season, the Jazz Senses a Special Year",0,0.05
What Is Stressing These People Out,1,0.95
27 Ways To Transform Your Favorite College Snacks Into Real Food,1,0.95
What It's Like To Kiss Another Woman For The First Time,1,0.95
"For Anyone Who Had A Crush On Sheik From ""Zelda""",1,0.95
Wolfgang Tilmans donates image to Quaker Social Action,0,0.05
"Celebrities Reading The Lyrics To ""Hotline Bling"" Is Hilarious",1,0.95
"Which ""Goldbergs"" Character Are You",1,0.95
Reese Witherspoon Thinks Elle Woods Should Be A Supreme Court Justice,1,0.95
South Africa defeats Wales 43-17 in rugby test match,0,0.05
A Lot Of People Are Upset About A YouTuber's Fat-Shaming Video,1,0.95
Mancan Wine In A Can Exists Because Masculinity Is Fragile As Fuck,1,0.95
Fehr Says Union Called to Have 2003 Drug Tests Destroyed,0,0.05
"Who Said It: ""Parks And Recreation"" Edition",1,0.95
16 Snapchats That Prove DJ Khaled Is The Hero We All Need,1,0.95
15 Mountains To Climb For Beginners,1,0.95
"Gold mine in Tanzania collapses, at least 20 dead",0,0.05
Which Nail Polish Brands Actually Stay On Your Nails,1,0.95
Norway Slides Into Recession,0,0.05
23 Delicate Moonstone Necklaces You'll Never Take Off,1,0.95
28 Of The Most Canadian Crimes Ever Committed,1,0.95
What Were Your Favorite Reality TV Moments Of 2015,1,0.95
Tour de France Officials and Teams at Impasse Over Radio Ban,0,0.05
Canada's Scarborough-Agincourt (Ward 40) city council candidates speak,0,0.05
The Most Important Member Of The Beckham Household Has Joined Instagram,1,0.95
"7 Essays To Read: Volunteering At An Abortion Clinic, Patriarchy, And Stupid Questions",1,0.95
"Television appeal for 1984 murder in Bath, England",0,0.05
16 Ways To Teach Your Kids About David Bowie (And The World),1,0.95
Champions League round of sixteen—first leg results,0,0.05
"Which Character From ""National Treasure"" Are You",1,0.95
What Percentage Dog Are You,1,0.95
US secretary of state Hillary Clinton says America helps fuel illegal drug trade,0,0.05
Former Alabama Governor Loses Final Round in Federal Appellate Court,0,0.05
Olympics organisers insist London win in 2012 ballot was fair,0,0.05
Two Kenyans kidnapped in Somalia by gunmen,0,0.05
"This Mashup Of ""Love Yourself"" And ""Hands To Myself"" Is Really, Really Good",1,0.95
Two time Tour de France winner Laurent Fignon dies at age 50,0,0.05
The 17 Biggest Surprises Of This Year's Oscar Nominations,1,0.95
"Here's What The ""Aladdin"" Cast Looks Like Now",1,0.95
How Sensitive Are You,1,0.95
Being A Desi Girl In Your Early Twenties Vs. Your Late Twenties,1,0.95
The 100 Season 3 Trailer Is Finally Here And It's A Lot To Handle,1,0.95
"On Day of Comebacks, Biggest Belongs to Dokic",0,0.05
"Fear and loathing on the campaign trail, July 2008",0,0.05
Profit Dropped 74% in Quarter for Volkswagen,0,0.05
"Which ""SNL"" Character Matches Your Zodiac",1,0.95
Which Type Of Swearer Are You,1,0.95
"John Major brings ""Anglo Saxon way of life"" into terrorist discussion",0,0.05
"One Direction Played ""Tattoo Roulette"" And It Got Pretty Tense",1,0.95
What Lego Piece Are You,1,0.95
23 Tweets About Horoscopes That Will Make You Laugh Every Time,1,0.95
"Polar bears related to extinct Irish bears, DNA study shows",0,0.05
Services Make It Easier to Buy via Cellphone,0,0.05
"Mike Dunlap Is Coaching at Arizona, but Not for Long",0,0.05
**For Agent Jack Raze Only. STOP. Do Not Read**,1,0.95
"As Troops Enter Gaza City, Israel Sees an Opening",0,0.05
This Puppy Sort Of Lost It When He Was Caught Eating Paper,1,0.95
Habertürk media sparks outrage over woman’s murder photo in Turkey,0,0.05
19 Gorgeous Lingerie Sets That Will Make You Never Want To Wear Pants Again,1,0.95
"At least 175 killed, 200 injured in northwestern Iraq",0,0.05
19 Things You Know When You're The Messy One In Your Relationship,1,0.95
Where In Wales Should You Actually Live,1,0.95
We Know Your Name Based On Your Opinions About Disney Movies,1,0.95
Paramilitary group calls for end to rioting in Northern Ireland,0,0.05
Afghan president Karzai widens lead in early voting count,0,0.05
The Vape God Of Instagram,1,0.95
Belgian prime minister offers resignation,0,0.05
25 Awesome Ways To Show Off Your State Pride,1,0.95
"Australian Labor Party leader urges supporters to ""take a cold shower"" over poll results",0,0.05
Space Shuttle Discovery launch scheduled for Tuesday,0,0.05
"Reminder That ""Gilmore Girls"" Is The Most Autumn Show Of All Time",1,0.95
"The 50 Most Hauntingly Beautiful Photos From ""The X-Files""",1,0.95
29 Things You Need To Know About MAX,1,0.95
19 Memes That Totally Made Parents Laugh In 2015,1,0.95
"Two firefighters killed in deadly blaze in Buffalo, New York",0,0.05
Should You Marry Kocoum,1,0.95
17 Pictures That Are Guaranteed To Make You Want A Squigglism Tattoo,1,0.95
Can You Match These Adele Songs To Their Albums,1,0.95
This Incredible Makeup Artist Can Transform Herself Into Anyone And Anything,1,0.95
Rising Generation in Pakistan Sees Social Change as Their Responsibility,0,0.05
Baseball Investigators to Meet With Alex Rodriguez on Sunday,0,0.05
These Illustrations Capture The Joy Of Living Alone,1,0.95
18 Reasons Being Single During The Winter Is Actually Amazing,1,0.95
These Are The Top Parenting Searches On Pinterest In 2016 (So Far),1,0.95
10 Celebs That Have Been Drinking From The Fountain Of Youth,1,0.95
"How Well Do You Remember ""The Walking Dead"" Season 1-3",1,0.95
U.A.W. Members Easily Ratify G.M. Concessions,0,0.05
Dying Canadian infant moved to U.S. hospital for medical treatment,0,0.05
EU launches channel on YouTube,0,0.05
Carrie Fisher Just Shut Down Age-Shamers With One Tweet,1,0.95
How Well Do You Remember Ted Mosby's Girlfriends? Part 1,1,0.95
Fernando Alonso wins 2007 Italian Grand Prix,0,0.05
Thai junta partially lifts political ban,0,0.05
UN renews Darfur peacekeeping mission,0,0.05
Drug Trial Company Finds Itself Under Scrutiny,0,0.05
"Two dead after car crash in Inverness, Scotland",0,0.05
Bacon-Wrapped Sriracha Onion Rings,1,0.95
Los Angeles Times launches editorial wiki,0,0.05
Which New Pentatonix Original Song Are You,1,0.95
Chilean football team arrives in South Africa,0,0.05
Fraud Victims Want Maximum for Madoff,0,0.05
This Dog Smiling For The Camera Is The Happy You Need Today,1,0.95
17 Itty Bitty Kitty Committees That Run The World,1,0.95
"Do You Remember ""Northern Downpour"" By Panic! At The Disco",1,0.95
My Weekend At A Gaming Convention As Told By Snapchat,1,0.95
19 Things Only True Carb Lovers Will Understand,1,0.95
"How Well Do You Know These Random, 16th Century Flemish Proverbs",1,0.95
Local government officials confiscate London ice cream made from human breast milk for health reasons,0,0.05
"Kristen Stewart Has Some Advice For ""Star Wars"" Star Daisy Ridley",1,0.95
How Well Do You Know The Zodiac Symbols,1,0.95
"Terrorism Is Not Priority for Pakistanis, Poll Finds",0,0.05
Egypt announces Internet crime initiative,0,0.05
24 Secrets Male Models Will Never Tell You,1,0.95
US Secretary of Homeland Security Tom Ridge resigns,0,0.05
"Here's How Much Fun I Had On The ""Harry Potter"" Studio Tour",1,0.95
Bob Dylan plays first concert in Vietnam,0,0.05
Head of UBS Investment Bank Unit Steps Down,0,0.05
Storm of Violence in Iraq Strains Its Security Forces,0,0.05
Polish authorities arrest Israeli agent,0,0.05
EU increases 2012 budget by two per cent,0,0.05
21 Things Every Second Semester College Senior Knows To Be True,1,0.95
13 Hanukkah Fails That Are Undeniably Hilarious,1,0.95
What Do You Really Need To Hear Right Now,1,0.95
Which Lady Gaga Outfit Are You Based On Your Birth Month,1,0.95
People Stuck Their Arms In A Hole And Blindly Let A Tattoo Artist Ink Them,1,0.95
26 Hilarious Reasons People Actually Cried While Drunk,1,0.95
"China, France attempt to repair relations in wake of protests",0,0.05
This New Movie Is A Tragic Love Story For The No-Labels Generation,1,0.95
Houston mayor urges evacuations as Hurricane Rita moves closer to shore,0,0.05
Fernando Alonso wins 2010 Singapore Grand Prix,0,0.05
This Is What It Feels Like To Live With A Mental Disorder,1,0.95
Beirut car bomb targets Hamas official,0,0.05
Signs You Grew Up In Louisiana,1,0.95
The Police Only Started This Woman's Stabbing Investigation Because Farhan Akhtar Intervened,1,0.95
Sydney FC to lose competition points,0,0.05
China sentences geologist to eight years in prison despite US appeal,0,0.05
India's Congress party wins elections,0,0.05
21 People Who Made Pretty Questionable Decisions,1,0.95
Weighing Reach of Law in Appeals for Clemency,0,0.05
The Story Behind How This Dog Lost His Ear Is Heartbreaking And Inspiring,1,0.95
38 Ways To Clean With Things You Have In Your Kitchen,1,0.95
Fire at Kazakhstan hospital kills at least 38,0,0.05
Meet The Brownies That Put All Other Brownies To Shame,1,0.95
16 Eyebrow Products That Are Actually Worth The Hype,1,0.95
14 Gluten-Free Thanksgiving Dishes That'll Change Your Life,1,0.95
TESEV Report on Eastern Turkey for UNDP released,0,0.05
State of the health care system in Sierra Leone critical,0,0.05
McCoughtry and Moore Set Stage for Title Game,0,0.05
What Color Is Your Aura Right Now,1,0.95
Meet The Women Who Run The Raddest Non-Girl Scout Troop Around,1,0.95
21 Things Disney-Obsessed Parents Definitely Do,1,0.95
"12-year-old school boy has sex change in Sussex, England",0,0.05
"Can You Correctly Guess The ""Game Of Thrones"" Character By The Butt",1,0.95
Somehow A Shit Ton Of People Have No Idea Who Chris Pratt Is,1,0.95
History Of Santa,1,0.95
"The Author Of ""A Series Of Unfortunate Events"" Just Donated $1 Million To Planned Parenthood",1,0.95
Pirates kill four American hostages,0,0.05
IDA Ireland opens Shanghai office,0,0.05
Garrett Hedlund Has Just Become Even More Perfect,1,0.95
UK Independence Party gains first MP,0,0.05
Someone Illustrated Leslie Knope Compliments And They Rock,1,0.95
"Which ""Harry Potter"" Character Should You Marry Based On Your Zodiac",1,0.95
Five U.S. defense contractor lobbying groups block ban on forced prostitution and labor,0,0.05
US says polar bears are threatened species,0,0.05
Welsh TV pioneer Owen Edwards dies at age 76,0,0.05
"Here's What The ""Toy Story"" Voice Actors Look Like In Real Life",1,0.95
When You Forget To Take Your ADHD Meds,1,0.95
Which Oscar-Nominated Actor Should You Hook Up With Based On One Question,1,0.95
Can We Guess Which Kardashian/Jenner Sister Is Your Favorite Based On Three Questions,1,0.95
The First Photos Of Rob Kardashian And Blac Chyna Are Here,1,0.95
30 Gorgeous Tattoos Inspired By Great Books,1,0.95
Can You Match The Boy To His Boy Band,1,0.95
The New Issue Of Essence Is All About Your Favorite Magical Black Girls,1,0.95
Sepp Blatter pick for FIFA World Cup draw presenter labelled as sexist,0,0.05
Bombings in Iraq Kill 11 People,0,0.05
An  Atlanta Ediorial Voice  May Move to the Right,0,0.05
Sarah Paulson Solidified Her Iconicness During Her Red Carpet Interview At The Emmys,1,0.95
Killen gets 60 years for civil rights killings,0,0.05
"Which Season Of ""American Horror Story"" Should You Binge Before ""Hotel""",1,0.95
Several Blasts in Pakistan After Taliban Warning,0,0.05
US President Bush meets with Canadian and Mexican leaders,0,0.05
Justices Side With AT&T on Maternity Leave,0,0.05
US Senate says no to pullout of US troops from Iraq,0,0.05
Voting chaos in Germany expected,0,0.05
17 Geography Puns That Are So Bad They're Kind Of Wonderful,1,0.95
What's A Quote Or Lyric That Best Describes Your Depression,1,0.95
13 Men's Rights Activists Share Their Messages For Feminists,1,0.95
Thieves steal £40 million from London jeweller,0,0.05
"Shared history textbook written by scholars from Japan, China, South Korea",0,0.05
Couples Reveal Their Biggest Pet Peeves,1,0.95
The INADI and Wikimedia Argentina sign an agreement of cooperation,0,0.05
31 Things That All Breakfast Lovers Will Definitely Understand,1,0.95
17 Dogs Who Will Kill You If You Don't Give Them A Goddamn Treat,1,0.95
Rapper 'Little Kim' sentenced to 1 year in prison,0,0.05
A Mom's Shocking Facebook Photo Shows Why You Should Be Wary Of People Kissing Your Baby,1,0.95
"Do You Remember The Pilot Episode Of ""Bob's Burgers""",1,0.95
Are You More Llama Or Alpaca,1,0.95
Fiat Chief Warns Chrysler Unions of Need for Cuts,0,0.05
Basically Everyone Needs To Try Working Out With DJ Khaled,1,0.95
Quadrangle Facing Questions Over Pension Funds,0,0.05
22 Things People Who Are Bad At Expressing Their Feelings Know To Be True,1,0.95
Stocks Drop Amid Swine Flu Concerns,0,0.05
What Was The Worst Netflix And Chill You've Experienced,1,0.95
Gay teachers' status uncertain after Polish election,0,0.05
"One Woman, Three Tim Burton Characters",1,0.95
Are You Happy With How You Lost Your Virginity,1,0.95
What Can You Buy For $1 In Your Country,1,0.95
Facebook Places launches in UK,0,0.05
"Having Diarrhea, As Told By Donald Trump",1,0.95
13 Pictures That Perfectly Sum Up Being Black Out Drunk,1,0.95
How Well Do You Remember WWF In The Early '90s,1,0.95
"The Naming of Swine Flu, a Curious Matter",0,0.05
16 Exit Songs To Walkout Of Your Last Final To,1,0.95
Massive power failure hits Brazil,0,0.05
"If Goldman Returns Aid, Will Others?",0,0.05
Stocks Bounce Back From Steep Losses,0,0.05
"19 Signs That John Boyega Is Enjoying Being In ""Star Wars"" So Damn Much",1,0.95
17 Of The Saddest Gingerbread Houses This Year,1,0.95
"Dear Men, Stop Wearing Boxers With Board Shorts",1,0.95
27 Behind-The-Scenes Comments You Only Hear At The Puppy Bowl,1,0.95
So It Looks Like Taylor Swift And Calvin Harris Maybe Aren't Broken Up After All,1,0.95
US Senate passes new bankruptcy bill,0,0.05
21 Things All Vegetarian Couples Just Get,1,0.95
17 Pictures Everyone Who's Slightly Obsessed With Tea Will Understand,1,0.95
17 Moments That Are Too Real For Anybody Who's Not Totally Out Of The Closet,1,0.95
We Got A Bunch Of Strangers To Give Us Their Netflix Log-In,1,0.95
The 32 Dumbest Things That Happened In 2015,1,0.95
"Dance party broken up by police in Utah, USA",0,0.05
"Which ""X-Men"" Heroine Are You",1,0.95
U.S. soldiers engaged in gore-for-porn swap,0,0.05
Afghan employee kills U.S. citizen at Kabul CIA base,0,0.05
Canada Drops W.T.O. Complaint Against Europe,0,0.05
29 Ridiculously Delicious Chinese Recipes That Are Better Than Take-Out,1,0.95
Gallery seeks Control themed mail art for exhibit,0,0.05
23 Life-Changing Apps We Downloaded This Year,1,0.95
PRIDE Critical Countdown 2005 results,0,0.05
Fan Praises Nets Center for His Help on Highway,0,0.05
How Many Of Shia LaBeouf's Movies Have You Seen,1,0.95
Scores killed and wounded as violence escalates in Iraq,0,0.05
What's Your Horoscope For The Week Of October 12,1,0.95
Wikinews interviews Spanish Paralympic swimmer Deborah Font,0,0.05
28 Alternative Pixar Halloween Costume Ideas,1,0.95
This New Starbucks Drink Is Basically Butterbeer,1,0.95
Fed Board Maintains the Status Quo,0,0.05
Tobacco Companies Lose Appeal,0,0.05
What Disney Princesses Would Look Like If My Boyfriend Answered My Phone Calls,1,0.95
Death of Rider Jeremy Lusk Points to   Perils of Motocross,0,0.05
16 Facts That Don't Sound Right But Are Actually True,1,0.95
"Which ""Inside Amy Schumer"" Amy Are You",1,0.95
How Do You Get Freaky Sharp Concentration,1,0.95
Americans Listened To Coke Studio For The First Time And Were Pretty Damn Impressed,1,0.95
English Premier League: Week 33 round-up,0,0.05
We Know Your Age Based On Your Opinions About Taylor Swift,1,0.95
How Many Of These Gamer Terms Do You Actually Know,1,0.95
12 Types Of Drunk Friend Everyone Knows,1,0.95
Roger Federer wins Australian Open,0,0.05
"Woman killed in house fire in South Yorkshire, England",0,0.05
A Hedge Fund Manager Wins and Moves On,0,0.05
San Jose mayor Gonzales indicted on six counts,0,0.05
Canadian power worker says grid is 'String of Christmas Lights that’s been Running Since the 1950s',0,0.05
17 Faces Paleta Payaso Made That You Could Relate To,1,0.95
13 Unique Side Dishes That'll Steal The Show On Thanksgiving,1,0.95
28 Foolproof Ways To Eat Pizza Every Damn Day,1,0.95
The 17 Worst Things You Could Say To Someone From Chicago,1,0.95
Which Donald Trump Quote Are You Based On Your Zodiac Sign,1,0.95
Protesters arrested after barricading themselves inside portion of Keystone Oil Pipeline,0,0.05
B.P. Scales Back Investment After Drop in Profit,0,0.05
Lesbians Watched And Critiqued Lesbian Porn And It Was Traumatic,1,0.95
17 Reasons People Who Exercise At Night Are Doing It Right,1,0.95
At least thirty dead after bus accident in India,0,0.05
31 Recipes That Prove You Should Be Making Thanksgiving Brunch Instead Of Dinner,1,0.95
Rockets kill ten civilians in Afghanistan,0,0.05
15 Vibrator Horror Stories That'll Make You Cringe,1,0.95
"With Modest Power, Mets Try Shedding Long-Ball Image",0,0.05
Can We Guess Your Taste In Men Based On Your Makeup,1,0.95
What It's Like To Keep Hollywood's Biggest Secret,1,0.95
The 9 Celebrities Discover Their Inner Princess Puzzle,1,0.95
Punchless Mets Ground Themselves Into a Loss,0,0.05
"Circus elephant escapes in Zurich, Switzerland",0,0.05
Last Minute Halloween Costume Ideas For Your Pet,1,0.95
Tsvangirai Calls Crash an Accident,0,0.05
Homeopathy proponents jailed for allowing daughter to die,0,0.05
At least thirty-three more dead in Ethiopia election clashes,0,0.05
19 Confessions From People Who Feel Guilty About Masturbating,1,0.95
Lapp Plats becomes first firm to float on IEX,0,0.05
"Everyone Made The Same ""Mean Girls"" Joke About Kris Jenner At The Victoria's Secret Fashion Show",1,0.95
Magnitude 5.4 earthquake hits Southern California,0,0.05
"As Boom Town Busts, a Brief Political Movement Fades Away",0,0.05
How Well Do You Know The Periodic Table Of Elements,1,0.95
Lockerbie bomber Abdelbaset Ali al-Megrahi released on compassionate grounds,0,0.05
Mark Martin Discovers There Is Life on the Road After 50,0,0.05
"Pacaya volcano erupts; ""state of public calamity"" declared",0,0.05
Sorry Everyone But Jack Dawson Was Actually The Worst,1,0.95
"Two arrested, 40 dead in Indian bridge collapse",0,0.05
Ellen DeGeneres Had Adele Record Her Voicemail Greeting And It's Perfection,1,0.95
11 Gross Facts About Your Teeth,1,0.95
Kimi Räikkönen wins 2008 Malaysian Grand Prix,0,0.05
"Katy Perry Wasn't Allowed To Read ""Harry Potter""",1,0.95
Find Out Your Horoscope For The Week Of November 23,1,0.95
Deceased Indonesian man had suspected case of bird flu,0,0.05
"One day after attempted rescue, six stranded whales die on Australian beach",0,0.05
"Covered Up, and Harassed, in Cairo",0,0.05
Jets Reach Five-Year Deal With Sanchez,0,0.05
When an 18-Year-Old Son Needs Elbow Surgery,0,0.05
15 Appetizers For A Rockin' New Year's Eve,1,0.95
Women Are Doing Tropical Eye Makeup And It's Mesmerizing,1,0.95
"Magnitude seven earthquake hits Japan, tsunami warning issued then withdrawn",0,0.05
"'Enough, enough, enough, enough': 1700 women march against mass rape in DR Congo",0,0.05
This Designer Teamed Up With Special Needs Individuals To Design A Taxi,1,0.95
Which Member Of The Order Of The Phoenix Are You Based On Your Zodiac Sign,1,0.95
Which Breakfast Food Matches Your Zodiac Sign,1,0.95
